Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,"-0,076051","1,9198","-0,60001",0,0,0,"12,276","0,24694","1,3051E-16","5,9019E-11","0,4497","2,1344E-08","0,23048",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Body.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Body.STL,,Robot_rama^mechatronic_wheel_urdf-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Wheel_Leg_1,"-0,084252","0,14235","0,11887",0,0,0,"21,646","0,09594","0,00049361","-0,002296","0,040872","0,0052055","0,071942",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Leg_1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Leg_1.STL,,Copy of Copy of Linear leg^mechatronic_wheel_urdf-4,Origin_Fixed_Joint_1,Wheel Height Steering Axis 1,Fixed_Joint_1,fixed,"-0,458962061523754","0,672071530720815","1,73207950566572","1,5707963267949",0,"3,04706793911628",Body,0,0,0,,,,,,,,,,,,
Wheel_Arm_1,"1,0537E-06","2,1145E-07","0,064075",0,0,0,"1,0657","0,0027869","-3,6154E-09","-2,0135E-11","0,0030328","7,1174E-10","0,00038231",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Arm_1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Arm_1.STL,,Copy of Copy of Linear arm^mechatronic_wheel_urdf-4,Система координат9,Wheel Steering Axis 1,Prismatic_Joint_1,prismatic,"-0,0811760992612787","-0,0173248477560364","0,151317807700735","-1,5707963267949","0,094524714473512",0,Wheel_Leg_1,0,0,-1,1500,"0,012",0,"0,1",,,"0,1",5,,,,
Wheel_Steering_1,"-0,00264547586329095","0,0696549681507643","-0,0862401478083892",0,0,0,"1,76193110760717","0,00198196578188312","2,77801323872854E-09","-4,91036823715988E-10","0,001171627765775","-6,91447848235305E-05","0,00231982057638236",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Steering_1.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Steering_1.STL,,Copy of Copy of kinematic unit^mechatronic_wheel_urdf-4,Wheel Steering System 1,Wheel Steering Axis 1,Steering_Joint_1,revolute,0,0,"0,0139999999999998",0,0,0,Wheel_Arm_1,0,0,-1,"25,5",2,"-1,047","1,047","0,05","0,02","0,01","0,8",,,,
Wheel_Rotating_1,"-6,70674948466399E-07","5,15937115252996E-08","0,0307772172820633",0,0,0,"2,43383574860161","0,00377983221037614","6,16165719302865E-08","-2,87930516026538E-08","0,00377991708658644","-3,04086352610987E-08","0,00638307835734237",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Rotating_1.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Rotating_1.STL,,Copy of Copy of Wheel^mechatronic_wheel_urdf-4,Wheel Rotating System 1,Wheel Axis 1,Rotating_Joint_1,continuous,"-0,005","-0,03375","-0,13194","1,5708",0,"3,1416",Wheel_Steering_1,0,0,-1,6,"84,1",0,0,"0,12","0,05","0,01","0,8",,,,
Wheel_Leg_2,"-0,0842515331336085","0,142349951358605","0,118869833879782",0,0,0,"21,6465005280285","0,095939920806334","0,000493599869216662","-0,00229592135160408","0,0408725009716719","0,00520551514524703","0,0719423439584347",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Leg_2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Leg_2.STL,,Copy of Copy of Linear leg^mechatronic_wheel_urdf-1,Origin_Fixed_Joint_2,Wheel Height Steering Axis 2,Fixed_Joint_2,fixed,"0,121037938476246","0,672071528641097","1,73207950566571","1,5707963267949",0,"3,04706793911628",Body,0,0,0,,,,,,,,,,,,
Wheel_Arm_2,"1,05371572853286E-06","2,11452870324536E-07","0,0640750160980057",0,0,0,"1,06570722412908","0,00278693724209937","-3,6154288513778E-09","-2,01353720706103E-11","0,00303280004772249","7,11738987695198E-10","0,000382312139775852",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Arm_2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Arm_2.STL,,Copy of Copy of Linear arm^mechatronic_wheel_urdf-1,Система координат10,Wheel Steering Axis 2,Prismatic_Joint_2,prismatic,"-0,081176099261279","-0,0173248477560359","0,151317807700734","-1,5707963267949","0,094524714473512",0,Wheel_Leg_2,0,0,-1,1500,"0,012",0,"0,1",,,"0,1",5,,,,
Wheel_Steering_2,"-0,00264547585328498","0,0696549681180505","-0,0862401477625196",0,0,0,"1,76193110843122","0,00198196578190544","2,77801408979138E-09","-4,91043098378315E-10","0,00117162776579707","-6,91447848224236E-05","0,0023198205763831",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Steering_2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Steering_2.STL,,Copy of Copy of kinematic unit^mechatronic_wheel_urdf-1,Wheel Steering System 2,Wheel Steering Axis 2,Steering_Joint_2,revolute,0,0,"0,014",0,0,0,Wheel_Arm_2,0,0,-1,"25,5",2,"-1,047","1,047","0,05","0,02","0,01","0,8",,,,
Wheel_Rotating_2,"1,91665153276288E-07","-6,55501188218111E-07","0,0294463536332772",0,0,0,"2,43383589638632","0,00377994752616419","-2,0188075440018E-08","3,86150010804337E-08","0,00377980194106551","-1,66862319297987E-08","0,00638307849176644",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Rotating_2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Rotating_2.STL,,Copy of Copy of Wheel^mechatronic_wheel_urdf-1,Wheel Rotating System 2,Wheel Axis 2,Rotating_Joint_2,continuous,"-0,005","-0,032419","-0,13194","1,5708",0,"3,1416",Wheel_Steering_2,0,0,-1,6,"84,1",0,0,"0,12","0,05","0,01","0,8",,,,
Wheel_Leg_3,"-0,0846059672214333","0,14234994916718","0,0512470132045877",0,0,0,"21,6464989377523","0,0959398694986743","0,000493614164014051","-0,00229595522905184","0,0408724695434011","0,00520549117870836","0,0719423409059822",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Leg_3.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Leg_3.STL,,Копия (2) Copy of Linear leg^mechatronic_wheel_urdf-4,Origin_Fixed_Joint_3,Wheel Height Steering Axis 3,Fixed_Joint_3,fixed,"-0,274800316965291","0,460678276574732","1,73207950566572","1,5707963267949",0,"-0,0945247144735175",Body,0,0,0,,,,,,,,,,,,
Wheel_Arm_3,"-1,05371572944879E-06","-2,11452870380047E-07","0,0640750160980044",0,0,0,"1,06570722412908","0,0027869372420994","-3,61542885102671E-09","2,0135374003635E-11","0,00303280004772252","-7,11738990196689E-10","0,000382312139775854",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Arm_3.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Arm_3.STL,,Копия (2) Copy of Linear arm^mechatronic_wheel_urdf-4,Система координат11,Wheel Steering Axis 3,Prismatic_Joint_3,prismatic,"-0,0815305412407084","-0,0173248477560364","0,0836949744534756","1,5707963267949","-0,0945247144735175","3,14159265358979",Wheel_Leg_3,0,0,-1,1500,"0,012",0,"0,1",,,"0,1",5,,,,
Wheel_Steering_3,"0,00264547584907721","-0,0696549681284998","-0,0862401477768258",0,0,0,"1,76193110816447","0,00198196578189706","2,7780141123649E-09","4,91041068100783E-10","0,00117162776578546","6,91447848214601E-05","0,00231982057637865",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Steering_3.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Steering_3.STL,,Копия (2) Copy of kinematic unit^mechatronic_wheel_urdf-4,Wheel Steering System 3,Wheel Steering Axis 3,Steering_Joint_3,revolute,0,0,"0,014",0,0,0,Wheel_Arm_3,0,0,-1,"25,5",2,"-1,047","1,047","0,05","0,02","0,01","0,8",,,,
Wheel_Rotating_3,"6,7913190066049E-07","2,73945768292094E-08","-0,0307772193197284",0,0,0,"2,43383536203651","0,0037798320729838","-6,15505065954813E-08","-2,8884300726216E-08","0,00377991657144083","3,10354312673607E-08","0,00638307785089282",0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Rotating_3.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://mechatronic_wheel_urdf/meshes/Wheel_Rotating_3.STL,,Копия (2) Copy of Wheel^mechatronic_wheel_urdf-4,Wheel Rotating System 3,Wheel Axis 3,Rotating_Joint_3,continuous,"0,005","0,03375","-0,13194","1,5708",0,"3,1416",Wheel_Steering_3,0,0,1,6,"84,1",0,0,"0,12","0,05","0,01","0,8",,,,
